year,month,outlet_code,yact,Random_forest_pred,prophet_pred,Arima_pred
2024,4,10328747.0,20.0,15.0,36.0,21.0
2024,4,10328748.0,30.0,28.0,44.0,28.0
2024,4,10328749.0,13.0,6.0,55.0,21.0
2024,4,10328753.0,23.0,17.0,16.0,25.0
2024,4,10328755.0,37.0,38.0,34.0,33.0
2024,4,10328756.0,28.0,18.0,4.0,22.0
2024,4,10328760.0,21.0,12.0,3.0,26.0
2024,4,31002002.0,25.0,16.0,30.0,27.0
2024,4,31002004.0,25.0,15.0,-6.0,28.0
2024,4,31002005.0,10.0,5.0,26.0,17.0
2024,4,31003000.0,24.0,23.0,28.0,21.0
2024,4,31003003.0,22.0,17.0,33.0,27.0
2024,4,31005000.0,23.0,17.0,-5.0,17.0
2024,4,31005002.0,16.0,16.0,14.0,13.0
2024,4,31008000.0,41.0,40.0,26.0,35.0
2024,4,31008002.0,0.0,1.0,42.0,10.0
2024,4,31008004.0,39.0,23.0,17.0,32.0
2024,4,31008006.0,0.0,0.0,22.0,9.0
2024,4,31010000.0,41.0,35.0,20.0,35.0
2024,4,31012000.0,8.0,2.0,14.0,1.0
2024,4,31012002.0,5.0,0.0,53.0,15.0
2024,4,31013000.0,6.0,2.0,10.0,-1.0
2024,4,33002000.0,0.0,0.0,27.0,9.0
2024,4,33002004.0,31.0,21.0,21.0,38.0
2024,4,33002008.0,0.0,0.0,39.0,-4.0
2024,4,33002009.0,53.0,44.0,3.0,56.0
2024,4,33006002.0,0.0,0.0,22.0,4.0
2024,4,33006003.0,0.0,0.0,51.0,-3.0
2024,4,33007000.0,0.0,0.0,4.0,-8.0
2024,4,33007002.0,60.0,49.0,3.0,64.0
2024,4,33007004.0,0.0,0.0,27.0,-4.0
2024,4,33007006.0,0.0,0.0,39.0,6.0
2024,4,35002000.0,25.0,20.0,20.0,20.0
2024,4,35002002.0,0.0,0.0,28.0,8.0
2024,4,35003000.0,28.0,28.0,45.0,25.0
2024,4,35003001.0,3.0,2.0,32.0,-6.0
2024,4,35003003.0,30.0,18.0,28.0,34.0
2024,4,35004000.0,13.0,5.0,35.0,4.0
2024,4,35006000.0,43.0,52.0,30.0,44.0
2024,4,35006002.0,38.0,39.0,14.0,30.0
2024,4,35007000.0,17.0,25.0,31.0,23.0
2024,4,35008000.0,13.0,5.0,24.0,13.0
2024,4,35009000.0,16.0,18.0,24.0,15.0
2024,4,37005000.0,39.0,28.0,33.0,41.0
2024,4,37006000.0,16.0,14.0,48.0,25.0
2024,4,37006001.0,10.0,3.0,23.0,20.0
